accounts-qml-module 0.7-4
accountsservice 22.08.8-2
acl 2.3.1-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 43-1
aha 0.5.1-2
alacritty 0.11.0-1
alsa-card-profiles 1:0.3.59-3
alsa-firmware 1.2.4-2
alsa-lib 1.2.8-1
alsa-plugins 1:1.2.7.1-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.8-1
alsa-utils 1.2.8-1
anki-bin 2.1.51-1
aom 3.5.0-1
apple-fonts 1.0.2-1
appstream 0.15.5-1
appstream-qt 0.15.5-1
archlinux-appstream-data 20221014-1
archlinux-keyring 20220927-1
argon2 20190702-4
at-spi2-core 2.46.0-2
atkmm 2.28.3-1
attica 5.99.0-1
attr 2.5.1-2
audacity 1:3.2.1-2
audiofile 0.3.6-7
audit 3.0.8-1
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
babl 0.1.96-1
baloo 5.99.0-1
base 3-1
bash 5.1.016-1
bc 1.07.1-4
binutils 2.39-3
bison 3.8.2-4
bitwarden-cli 2022.10.0-1
blas 3.10.1-1
bluedevil 1:5.26.2-1
bluez 5.65-3
bluez-libs 5.65-3
bluez-qt 5.99.0-1
bolt 0.9.3-1
boost-libs 1.80.0-3
breeze 5.26.2-1
breeze-gtk 5.26.2-1
breeze-icons 5.99.0-1
brotli 1.0.9-8
bspwm 0.9.10-2
btrfs-progs 6.0-1
bubblewrap 0.6.2-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.84-1
ca-certificates-utils 20220905-1
cairo 1.17.6-2
cairomm 1.14.4-1
cantarell-fonts 1:0.303.1-1
capstone 4.0.2-6
cblas 3.10.1-1
ccls 0.20220729-1
cdparanoia 10.2-8
chromaprint 1.5.1-4
cifs-utils 7.0-1
clang 14.0.6-3
cmake 3.24.2-1
colorpicker 1.0.f5d441a-2
compiler-rt 14.0.6-1
confuse 3.3-3
convertlit 1.8-10
coreutils 9.1-1
cryptsetup 2.5.0-1
cups 1:2.4.2-3
cups-filters 1.28.16-2
curl 7.86.0-1
cython 0.29.32-2
dav1d 1.0.0-1
db 5.3.28-5
dbus 1.14.4-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-1
deluge 1:2.1.1-1
deluge-gtk 1:2.1.1-1
desktop-file-utils 0.26-2
device-mapper 2.03.16-2
diffutils 3.8-1
discord 0.0.21-2
discount 2.2.7.b-1
discover 5.26.2-1
dmenu 5.2-1
dmidecode 3.4-1
dmraid 1.0.0.rc16.3-14
dnssec-anchors 20190629-3
dosfstools 4.2-2
double-conversion 3.2.1-1
downgrade 11.1.0-1
drkonqi 5.26.2-1
dtc 1.6.1-4
duktape 2.7.0-4
e2fsprogs 1.46.5-4
ebook-tools 0.2.2-7
editorconfig-core-c 0.12.5-1
edk2-ovmf 202208-1
efibootmgr 18-1
efivar 38-2
egl-wayland 2:1.1.11-2
eglexternalplatform 1.1-2
enchant 2.3.3-2
exiv2 0.27.5-3
exo 4.16.4-1
expat 2.5.0-1
faad2 2.10.1-1
fakeroot 1.29-1
fastfetch 1.3.4-1
fcitx5 5.0.19-1
fcitx5-configtool 5.0.15-1
fcitx5-gtk 5.0.19-1
fcitx5-mozc 2.26.4632.102.g4d2e3bd-2
fcitx5-qt 5.0.15-1
feh 3.9.1-2
ffcall 2.4-2
ffmpeg 2:5.1.2-1
fftw 3.3.10-3
file 5.43-1
filesystem 2022.10.18-1
findutils 4.9.0-1
firefox 106.0.3-1
flac 1.4.2-1
flameshot 12.1.0-1
flashrom 1.2-4
flex 2.6.4-3
fluidsynth 2.3.0-2
fmt 9.1.0-1
font-manager 0.8.8-1
fontconfig 2:2.14.1-2
frameworkintegration 5.99.0-1
freeglut 3.4.0-1
freetype2 2.12.1-1
fribidi 1.0.12-1
fuse-common 3.12.0-1
fuse2 2.9.9-4
fuse3 3.12.0-1
fwupd 1.8.6-1
fwupd-efi 1.3-1
fzf 0.34.0-1
gawk 5.2.0-3
gc 8.2.2-1
gcab 1.5-1
gcc 12.2.0-1
gcc-libs 12.2.0-1
gcr 3.41.1-3
gcr-4 4.0.0-1
gd 2.3.3-4
gdb 12.1-1
gdb-common 12.1-1
gdbm 1.23-1
gdk-pixbuf2 2.42.10-1
gegl 0.4.38-1
geoclue 2.6.0-3
geocode-glib 3.26.4-2
geocode-glib-common 3.26.4-2
geoip 1.6.12-2
geoip-database 20221018-1
gettext 0.21.1-1
ghc-libs 9.0.2-1
ghostscript 10.0.0-1
giflib 5.2.1-2
gimp 2.10.32-2
git 2.38.1-1
git-credential-manager-core-bin 2.0.696-1
glib-networking 1:2.74.0-1
glib2 2.74.1-1
glibc 2.36-6
glibmm 2.66.5-1
glslang 11.11.0-1
glu 9.0.2-3
gmp 6.2.1-2
gnome-keyring 1:42.1-1
gnu-free-fonts 20120503-8
gnupg 2.2.40-1
gnustep-base 1.28.0-5
gnutls 3.7.8-1
gobject-introspection-runtime 1.74.0-1
gperftools 2.10-1
gpgme 1.18.0-1
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.9-1
graphene 1.10.8-1
graphite 1:1.3.14-2
graphviz 7.0.0-1
grep 3.8-2
groff 1.22.4-7
grub 2:2.06.r334.g340377470-1
gsasl 2.2.0-1
gsettings-desktop-schemas 43.0-1
gsfonts 20200910-2
gsm 1.0.22-1
gst-plugins-bad-libs 1.20.4-1
gst-plugins-base 1.20.4-1
gst-plugins-base-libs 1.20.4-1
gstreamer 1.20.4-1
gtk-update-icon-cache 1:4.8.2-1
gtk2 2.24.33-2
gtk3 1:3.24.34+r156+g812b3930d0-1
gtk4 1:4.8.2-1
gtkmm3 3.24.7-1
gts 0.7.6.121130-2
guile 2.2.7-2
gumbo-parser 0.10.1-2
gvfs 1.50.2-1
gzip 1.12-1
harfbuzz 5.3.1-3
